,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,"You can get 100 euros if you win a local DM competition, or we donâ€™t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would deserve then? ",Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
0,1,1,1,1,1,2,0,00/00/0000,3,0,100,6,23:00,1,6
1,1,0,0,1,1,1,1,09/07/1992,1,0,60,7,03:00,6,6
2,0,1,1,2,1,1,2,04/08/1995,0,2,60,0,00:00,6,6
3,0,1,1,1,1,1,1,29/09/1993,2,0,42,1645,03:00,6,3
4,0,0,1,1,1,1,2,00/00/0000,2,0,60,66,20:00,6,2
5,1,1,1,1,1,1,4,31/12/1994,0,1,60,420,00:00,6,1
6,0,1,0,1,0,0,2,09/10/1995,0,0,100,739,22:00,3,1
7,0,1,1,1,1,1,3,22/07/1996,0,1,60,5,24:30,2,1
8,11,0,0,1,1,1,2,30/02/1945,0,0,60,31,03:30,7,6
9,1,1,1,1,0,1,2,00/00/0000,0,0,60,5,02:00,1,0
10,0,1,0,1,0,1,2,10/06/1991,276,0,20,3851,11:00,1,0
11,5,0,0,1,0,1,1,00/00/0000,3,0,25,6,03:00,1,3
12,1,1,1,1,0,1,3,18/03/1994,3,0,276,7,04:00,0,6
13,0,1,1,1,1,1,1,02/08/1996,1,0,100,16,23:30,2,6
14,0,1,1,1,1,1,1,00/00/0000,2,0,95,314152,00:00,1,3
15,0,1,0,1,0,1,2,00/00/1996,11,0,50,11,20:00,7,0
16,0,0,0,1,0,1,1,03/03/1994,6,0,30,5,05:00,5,3
17,2,1,1,1,1,1,1,17/05/1994,7,0,30,17,22:00,1,5
18,0,1,1,1,1,1,1,00/00/0000,3,1,50,7,24:00,1,3
19,2,1,0,1,1,0,2,27/12/1996,1,0,100,7,23:00,1,3
20,0,1,0,1,1,0,1,18/10/1996,2,0,100,2,21:00,6,3
21,1,0,1,1,0,0,0,21/08/1995,0,0,100,6,01:03,1,3
22,1,0,0,1,1,1,1,00/00/0000,4,0,60,888,18:00,6,6
23,1,1,1,1,1,0,1,09/08/1996,1,0,10,2,00:00,1,3
24,1,1,1,1,1,1,2,24/02/1994,1,0,20,251656723,23:00,1,0
25,0,1,0,1,0,1,2,00/00/0000,0,0,1,17572857155648217566617584166,01:00,6,3
26,1,1,0,1,1,0,0,01/01/1993,5,0,5,6,01:00,1,6
27,5,0,0,1,0,0,2,00/00/0000,1,0,25,9,23:30,1,6
28,0,1,1,1,1,0,0,1996/11/06,2,0,100,579659987878648768,22:30,3,6
29,2,1,0,1,0,1,3,00/00/0000,2,0,50,9,22:00,1,6
30,11,1,0,0,0,2,2,15/10/1990,4,0,60,8,23:00,2,6
31,11,1,1,1,1,1,1,03/11/1991,5,0,35,2,00:45,2,3
32,0,1,0,1,0,2,2,15/07/1995,1,0,10,654649897563232021568453120124653120,13:00,0,2
33,10,0,0,1,0,1,3,00/00/1988,10,0,60,9,12:00,5,2
34,10,1,1,1,1,1,1,25/05/1995,2,0,1,9,10:00,3,2
35,0,0,0,1,0,1,3,00/00/0000,6,0,5,5,02:00,3,2
36,3,1,0,1,0,0,3,12/12/1995,2,0,20,12,01:00,1,3
37,0,0,0,1,0,1,3,00/00/0000,276,0,100,7,01:00,3,0
38,2,1,1,1,1,0,1,00/00/0000,10,0,10,8,21:00,7,3
39,1,0,0,1,0,0,0,13/07/1995,1,0,60,5,20:00,1,2
40,11,0,1,1,1,0,1,00/00/0000,4,0,60,583,01:30,2,2
41,0,1,0,1,1,1,1,00/00/0000,5,0,276,7,01:00,2,6
42,0,1,1,1,1,1,2,23/02/1997,4,0,15,1,23:30,5,0
43,1,1,1,1,1,0,2,30/03/1995,8,0,60,46743222,21:00,1,5
44,5,0,0,1,0,1,3,09/03/1994,4,0,2,3,22:30,3,1
45,0,1,1,1,0,1,2,27/04/1994,4,0,100,6483920484627,03:00,6,6
46,0,1,0,1,0,1,2,11/05/1996,0,0,1,4,01:00,0,3
47,7,1,0,1,0,1,2,13/09/1995,6,0,85,314,23:00,0,1
48,5,0,0,0,0,1,2,23/01/1994,3,0,3,3,11:00,5,3
49,0,1,1,1,1,1,4,00/00/0000,24,0,276,777777777,10:00,3,2
50,1,1,1,1,1,1,2,01/04/0000,0,0,100,5587458772588865,00:00,1,3
51,1,1,1,1,1,1,2,19/12/1995,1,0,15,85,02:40,3,7
52,0,1,1,0,1,0,2,00/00/0000,7,0,90,7,01:00,4,6
53,1,1,0,1,1,0,1,12/12/1995,6,0,5,1212,12:30,2,5
54,0,0,0,1,0,1,3,23/08/1992,276,0,91,27,01:00,3,3
55,11,0,0,1,0,1,1,04/04/1996,0,2,2,483636354,20:30,3,3
56,2,0,0,1,0,1,1,22/07/1995,2,0,276,9,23:00,1,3
57,0,1,0,1,1,1,2,11/02/1996,2,0,100,69,23:30,1,3
58,0,1,0,1,1,1,3,26/05/1997,7,0,100,7,00:00,3,0
59,1,1,0,0,0,1,3,02/12/1992,1,0,4,6,23:30,6,2
60,0,1,1,1,1,1,1,00/00/0000,4,0,50,314159265359,04:25,7,6
61,1,1,1,1,1,1,3,00/00/0000,2,0,276,7,01:00,0,0
62,0,1,0,1,0,0,1,18/11/1995,2,0,10,8,23:00,7,2
63,2,2,0,1,0,0,0,27/06/1991,1,0,100,3,23:00,1,6
64,0,0,0,1,1,0,3,25/02/1993,5,0,20,7,23:30,6,0
65,1,1,1,1,1,1,1,30/01/1996,1,0,10,7,03:00,3,2
66,0,1,1,1,1,1,4,05/02/1986,0,0,50,1,23:30,0,6
67,1,1,1,1,1,1,2,03/10/1996,2,0,20,96,11:03,0,1
68,2,1,0,1,1,0,1,31/10/1996,8,0,80,2,22:30,1,3
69,11,1,0,1,1,1,2,10/05/1996,7,0,60,2,22:30,0,1
70,11,1,0,1,1,2,3,00/00/0000,5,0,1,8,03:00,3,7
71,0,1,0,0,1,1,1,18/07/1995,2,0,101,8,01:00,1,2
72,2,0,0,1,1,0,1,00/00/0000,2,0,80,7,00:00,1,2
73,2,1,1,1,1,1,2,15/02/1994,1,0,99,0,22:30,0,1
74,1,1,1,1,1,1,2,19/01/1996,5,0,60,341,23:00,5,0
75,5,1,0,1,1,0,0,08/02/1997,276,0,50,8,09:00,3,0
76,1,1,1,1,0,1,2,00/00/0000,5,0,80,3,23:34,1,0
77,1,1,1,1,1,0,3,01/04/1997,3,0,10,7,00:00,1,2
78,1,1,1,1,0,0,4,14/11/1995,0,0,21,1,23:00,1,6
79,1,0,0,1,1,0,2,00/00/0000,5,0,200,7,23:00,1,3
80,11,1,0,1,0,0,2,05/09:1993,2,0,10,7,02:00,0,3
81,1,1,1,1,0,1,2,22/03/1994,1,0,99,7,12:00,2,3
82,0,0,0,1,1,1,0,06/12/1993,2,2,90,314,23:59,3,0
83,11,0,0,1,0,1,2,04/12/1995,2,0,1,3,02:00,3,6
84,1,1,1,1,1,1,2,04/06/1997,3,0,5,7,03:30,6,6
85,5,0,0,1,0,0,0,13/08/1996,3,0,276,35282625,23:45,1,7
86,1,1,1,1,1,1,2,21/05/1995,2,1,25,7,23:00,1,6
87,0,1,1,1,1,0,3,07/06/1994,5,0,25,314,01:30,1,2
88,10,0,0,1,0,1,1,00/00/0000,2,0,60,7,01:00,1,0
89,3,0,0,1,1,1,3,00/00/0000,10,0,50,7,13:00,0,0
90,0,1,0,1,1,1,2,03/11/1992,1,0,100,2,23:00,0,2
91,2,1,0,1,1,0,2,27/11/1996,7,0,1,5,00:57,1,3
92,1,1,1,1,1,0,2,25/11/1994,5,0,100,5,00:30,1,3
93,11,0,0,1,0,1,1,27/01/1993,1,0,25,5,12:00,1,6
94,0,1,1,1,1,1,3,10/09/1995,1,0,25,9,23:55,3,6
95,0,1,0,1,0,1,2,15/04/1995,2,0,7,7,12:00,1,6
96,2,1,0,1,1,1,1,12/08/1996,2,0,5,6,23:30,0,6
97,2,1,0,1,0,1,1,00/00/0000,0,0,276,4,00:00,3,6
98,0,0,0,1,0,1,1,03/06/1995,2,0,100,9,23:30,0,6
99,0,1,0,1,1,1,1,20/09/1995,3,2,50,25,12:00,2,0
100,1,1,1,1,1,0,2,14/01/1992,8,0,60,4,21:30,7,6
101,0,1,0,1,0,1,2,00/00/0000,2,0,70,4,23:30,6,3
102,2,1,0,1,1,0,3,21/10/1996,2,0,100,8,23:00,1,5
103,2,0,0,1,0,0,1,25/08/1993,1,0,276,9,23:30,1,6
104,1,0,0,1,0,0,0,31/01/1995,6,0,10,3,00:00,1,3
105,2,1,1,1,1,1,0,01/05/1996,7,0,2,5,23:45,1,7
106,2,1,0,1,1,1,3,00/00/0000,2,0,100,7,24:00,3,0
107,1,0,0,1,0,1,1,00/00/0000,6,0,60,9,23:00,3,2
108,1,0,0,1,0,0,2,15/09/1994,24,0,100,9,22:22,2,6
109,1,1,0,1,0,0,0,28/04/1997,6,0,1,8,01:00,1,2
110,1,1,1,1,1,1,1,30/07/1997,1,2,2,10,23:00,7,1
111,0,0,2,1,1,1,2,10/06/1989,5,0,1,10,01:30,1,7
112,11,1,1,1,1,1,1,00/00/1995,7,0,100,7,01:00,7,7
113,1,1,0,1,0,1,2,15/09/1992,276,0,1,67,01:40,0,2
114,5,0,1,1,1,0,1,1996/05/24,0,1,10,125,01:00,1,3
115,2,1,1,1,1,0,1,04/10/1995,2,0,1,7,23:45,1,2
116,1,1,1,1,1,1,2,07/08/1993,8,0,100,2104,10:30,6,6
117,0,0,1,0,0,1,2,00/00/0000,6,0,50,6,03:00,3,0
118,1,1,1,1,1,1,3,00/00/0000,2,0,1,8,12:00,1,0
119,1,1,1,1,0,0,3,00/00/0000,5,0,5,4,23:45,1,6
120,10,0,0,1,0,1,1,16/01/1997,2,0,60,7,01:00,3,5
121,0,1,1,0,1,0,3,11/06/1991,5,0,70,8,20:00,1,6
122,9,0,0,1,0,0,3,04/10/1994,4,0,3,678,22:12,2,1
123,1,0,0,1,0,0,2,00/00/1995,2,0,25,1,00:30,3,7
124,0,1,1,1,1,1,1,06/03/1995,1,0,85,3,23:30,7,0
125,2,0,0,1,0,1,2,17/07/1995,2,0,50,8,03:00,1,6
126,0,1,1,1,0,1,3,01/10/1996,3,0,100,8,06:00,3,0
127,5,1,1,1,0,1,2,04/12/1991,5,1,35,7,01:30,0,3
128,1,0,1,1,0,0,3,19/12/1993,2,0,20,3,00:30,6,3
129,5,0,0,1,0,1,3,00/00/0000,0,2,1,314159,12:00,3,6
130,5,1,1,1,1,1,2,24/09/1996,2,0,276,2,00:00,0,3
131,0,1,0,1,0,1,3,02/05/1975,6,0,50,1,03:00,0,0
132,0,1,0,1,0,1,1,00/00/0000,8,0,99,1,22:00,7,2
133,3,1,0,2,0,2,2,09/09/1996,5,2,25,666,10:00,6,6
134,0,1,0,1,0,1,0,00/00/0000,10,0,5,0,11:00,3,2
135,2,0,1,1,0,1,1,17/05/1993,6,0,27,5,22:00,0,7
136,1,0,0,1,0,0,1,14/09/1996,8,0,100,9,00:00,2,5
137,0,0,0,1,0,0,0,22/03/1996,276,0,15,5,23:00,2,3
138,0,1,1,0,1,1,3,00/00/1994,9,0,100,0,05:10,1,6
139,11,1,0,1,1,2,3,/09/271994,276,0,5,7,01:00,1,2
140,1,1,1,1,1,1,1,05/05/1993,1,0,5,457,00:00,3,6
141,1,1,1,1,0,1,1,07/10/1994,5,0,3,3,01:05,6,1
142,2,1,0,1,1,0,2,14/07/1995,8,0,80,8,22:30,1,2
143,1,1,1,1,0,1,3,00/00/1991,276,0,276,2,23:00,6,3
144,11,0,0,1,0,1,2,17/03/1994,3,0,25,7,14:00,0,6
145,1,0,1,1,1,0,2,30/10/1994,1,0,100,7,13:00,6,2
146,0,1,0,1,0,0,1,00/00/0000,1,0,6,6,02:00,3,2
147,5,0,0,1,0,0,2,00/00/0000,4,0,1,6,11:50,2,3
148,1,1,0,1,1,1,2,04/08/1993,1,0,12,8,02:00,7,3
149,5,0,1,2,0,1,1,00/00/0000,276,0,20,6,22:40,1,6
150,1,1,1,0,1,0,2,30/04/1993,5,0,100,9,11:30,7,3
151,0,1,0,1,0,0,0,07/02/1995,2,0,276,8,01:30,0,1
152,10,0,0,1,1,1,1,27/08/1996,1,0,90,7,11:30,1,6
153,1,1,1,1,2,1,3,18/06/1992,20,1,60,1,13:00,6,6
154,2,1,0,1,1,1,0,09/11/2001,276,0,5,1,20:00,0,3
155,0,1,0,1,1,1,3,11/08/1994,6,0,25,3141,10:00,0,1
156,1,0,1,1,0,0,2,02/09/1995,2,0,1,5,23:50,7,6
157,0,0,0,1,0,1,3,09/10/1993,7,0,7,2,01:00,7,6
158,0,1,0,1,1,1,3,16/02/1989,10,0,276,6,03:00,1,6
159,1,1,0,1,1,1,3,00/00/1995,2,1,100,9,03:00,7,2
160,10,0,0,1,0,1,1,02/09/1994,8,0,60,1,00:00,0,7
161,5,0,0,1,0,0,4,11/03/1996,1,0,16,6,00:30,6,6
162,0,0,0,1,1,1,2,02/13/1995,4,0,5,9,12:70,5,2
163,1,1,1,1,0,1,2,12/03/1997,8,0,5,8,01:50,7,6
164,11,2,2,2,2,2,4,00/00/0000,0,2,60,0,00:00,6,6
165,1,0,0,1,0,0,3,00/00/0000,276,0,276,5,02:00,6,6
166,0,0,0,2,1,0,1,00/00/0000,250,1,10,84,23:00,0,1
167,3,1,1,1,0,2,2,08/07/1985,4,0,30,9,10:00,3,6
168,1,1,1,1,0,1,3,00/00/1995,5,0,60,2,00:30,3,3
169,5,0,0,1,0,1,3,11/11/1995,8,0,99,7,00:30,3,5
170,0,1,0,2,1,1,3,19/12/1992,20,0,90,8,03:00,0,2
171,9,0,0,0,0,1,1,10/08/1996,0,0,30,2,11:18,6,2
172,5,0,0,1,0,1,1,13/07/1995,8,1,100,227,02:00,7,7
173,1,1,0,1,0,1,3,22/09/1993,22,1,100,7,08:00,2,0
174,0,0,0,1,0,1,3,00/00/0000,4,0,10,7,12:00,3,6
175,0,1,1,1,1,1,1,15/10/1993,1,0,50,8,23:00,2,0
176,10,0,0,1,0,1,2,22/11/1993,5,0,276,12,22:30,0,6
177,5,1,0,0,1,1,3,00/00/0000,2,0,7,4,23:00,1,3
178,1,1,1,1,1,1,3,23/01/1996,6,0,40,7,24:00,3,6
179,0,1,0,1,0,0,1,30/07/1992,8,0,1,7,22:00,0,7
180,0,1,0,1,0,1,1,00/00/0000,9,0,5,2,23:00,3,1
181,10,0,0,2,0,2,1,02/09/1993,4,2,100,7,00:15,1,7
182,1,1,1,1,0,0,1,07/10/1993,2,0,25,9,22:30,3,2
183,7,0,1,1,1,1,3,00/00/0000,1,0,42,6,12:00,1,6
184,5,0,0,1,1,1,1,13/01/1994,5,0,10,1,23:00,1,6
185,0,0,0,1,0,0,0,15/06/1996,2,0,10,4,23:30,3,1
186,1,0,0,1,0,0,2,23/03/1994,5,0,2,8,13:00,0,1
187,3,1,1,1,1,1,1,28/12/1993,5,0,10,2,23:30,0,6
188,0,1,0,1,1,1,2,01/09/1995,3,0,25,42,01:30,2,3
189,1,0,0,0,1,1,2,16/02/1990,5,0,1,3,03:00,6,6
190,0,1,0,1,1,1,2,25/12/1995,1,0,10,3,00:00,1,0
191,11,0,1,1,0,2,2,10/12/1992,7,1,100,0,00:00,3,6
192,2,1,0,1,1,1,3,24/12/1993,0,0,220,6,07:00,1,6
193,0,0,0,0,1,0,1,30/12/1992,5,0,10,11,02:00,1,6
194,1,1,1,1,1,2,3,19/02/1996,2,0,1,976,23:30,1,0
195,1,1,1,1,0,0,2,23/09/1996,2,0,5,4,23:00,1,6
196,0,0,0,1,1,1,3,20/09/1987,1,0,25,7,05:00,6,0
197,1,1,1,1,1,1,0,00/00/1995,2,1,1,4,23:30,3,5
198,1,1,1,1,0,1,1,00/00/0000,1,0,5,9,02:30,3,6
199,0,0,1,2,1,1,2,15/06/1993,276,0,120,6,00:25,0,6
200,1,1,1,1,1,1,4,69/69/1969,8,0,100,3,03:00,6,6
201,2,1,0,1,1,0,3,00/00/0000,2,0,80,9,23:00,1,6
202,11,1,0,1,0,0,2,00/00/0000,6,0,80,9,00:00,1,7
203,1,0,0,1,0,0,1,00/00/0000,6,0,4,4,22:30,1,2
204,2,0,0,1,0,1,1,00/00/0000,5,0,5,8,11:00,0,1
205,1,0,1,1,0,1,1,03/05/1995,23,0,5,6,22:30,1,0
206,10,0,0,1,0,1,2,00/00/0000,8,0,100,7,12:18,6,6
207,0,0,1,1,1,1,2,00/00/0000,0,0,50,314159265359,03:00,7,6
208,1,1,1,1,0,0,0,03/07/1995,1,0,50,6674336895322579,12:00,1,2
209,0,1,0,0,0,0,1,26/08/1996,1,0,60,5,22:30,3,2
210,11,0,0,1,0,0,2,21/02/1996,0,0,20,1,00:00,1,2
211,0,1,2,1,2,0,1,28/12/1994,1,0,60,333,00:00,3,6
212,9,0,0,1,0,0,0,05/11/1996,2,0,5,8,13:00,3,0
213,0,1,0,1,0,1,4,00/00/0000,3,0,276,7,23:00,3,0
214,2,1,0,1,1,0,1,00/00/0000,3,0,5,7,02:00,1,6
215,2,1,0,1,1,1,2,00/00/1995,276,0,80,314,11:30,3,1
216,0,1,1,1,1,1,2,00/00/0000,276,0,12,0,00:00,0,7
217,11,1,1,1,1,1,2,1995/08/08,5,0,276,1,00:00,0,6
218,1,1,1,1,1,1,1,00/00/0000,7,0,276,7,03:30,6,3
219,0,1,0,1,0,1,2,28/11/0000,1,0,276,2,23:00,7,6
220,10,0,0,1,0,1,0,28/04/1996,3,0,60,7,12:00,7,3
221,7,1,0,1,1,1,2,30/04/0000,2,2,60,42,22:00,6,0
222,1,1,1,1,1,0,3,08/01/1997,2,0,100,3,01:00,3,3
223,7,1,1,1,1,1,1,01/01/1971,4,0,2,3736536379120,02:33,0,1
224,2,1,1,1,1,1,1,00/00/1994,1,0,66,12,11:00,0,2
225,0,0,0,1,0,1,0,00/00/0000,8,0,80,4,00:00,7,3
226,2,1,0,1,1,1,3,31/10/1995,1,0,99,9,23:30,5,3
227,0,0,0,2,0,1,1,00/00/0000,4,0,10,313,05:00,2,7
228,7,1,0,1,1,1,3,00/00/0000,8,0,60,9,04:00,7,2
229,0,0,1,1,0,1,1,01/10/1991,0,0,2,8,20:45,1,7
230,0,0,1,1,1,1,0,00/00/1995,2,0,100,6,20:00,3,6
231,11,1,1,1,1,1,2,00/00/0000,5,1,60,3,02:30,0,6
232,0,0,1,1,1,0,2,00/00/0000,2,0,1,2,02:00,0,3
233,11,0,0,1,0,1,0,24/04/1996,4,0,10,7,00:30,5,6
234,5,0,0,1,0,0,3,30/11/1992,8,0,22,7,02:00,0,0
235,11,0,0,0,0,1,2,11/06/1993,1,0,1,9,10:00,2,3
236,0,0,0,0,1,1,4,00/00/0000,8,0,10,7,12:00,3,0
237,10,0,2,1,0,1,3,01/01/1993,2,0,1,1,23:00,2,6
238,2,1,0,1,0,0,2,19/10/1995,2,0,25,4,23:00,3,6
239,0,1,1,1,1,1,3,21/08/1996,0,0,5,7,13:00,0,6
240,2,1,0,1,1,1,2,17/09/1996,2,0,30,8,23:45,3,0
241,0,1,0,0,1,0,3,00/00/1994,10,0,50,2,04:00,0,6
242,1,1,1,1,1,1,1,11/04/1995,3,0,2,7,01:00,0,1
243,2,1,0,1,0,0,1,13/11/1995,1,0,60,4,23:15,1,3
244,7,1,0,1,1,1,1,00/00/0000,3,0,20,6,23:15,0,3
245,2,1,0,1,0,1,1,21/05/1996,8,0,2,1,23:00,0,0
246,4,0,0,1,0,1,1,23/04/1992,1,0,10,314150692,23:10,1,6
247,1,1,0,1,0,1,2,19/10/1995,5,0,1,5,03:30,1,6
248,0,0,0,0,0,0,2,09/06/1989,2,0,17,9,02:00,2,0
249,11,2,0,0,1,1,3,04/09/1995,2,0,1,491995,12:00,1,6
250,0,0,1,1,0,1,3,00/00/0000,3,0,1,5,02:00,3,7
251,1,1,1,0,0,1,2,12/01/1995,0,0,99,1,12:00,6,6
252,0,0,1,2,1,0,1,00/00/0000,3,0,100,5,04:00,0,3
253,5,1,1,1,1,1,1,00/00/0000,7,0,47,5,01:30,1,0
254,0,0,1,1,1,1,3,00/00/0000,5,0,276,7,01:00,1,3
255,0,0,1,1,1,1,2,00/00/0000,6,0,20,7,00:00,1,3
256,5,1,0,1,0,1,0,17/07/1996,2,0,77,7,14:50,0,5
257,0,1,1,1,1,0,1,00/00/0000,2,0,60,9,04:00,2,6
258,1,1,0,1,0,1,1,00/00/0000,3,0,40,3,02:00,0,6
259,5,1,1,1,0,2,1,27/03/1992,35,0,101,999999,01:30,5,2
260,0,1,1,1,1,1,2,00/00/1994,6,0,1,8,02:00,1,3
261,0,1,1,1,1,0,3,20/02/1996,7,0,50,8,03:00,0,6
262,11,0,0,1,0,1,2,14/04/1996,8,0,1,5,22:00,6,0
263,0,1,1,1,1,1,2,00/00/0000,3,0,3,3,02:00,1,5
264,2,1,1,1,0,1,1,00/00/0000,2,0,1,8,11:00,0,6
265,1,1,1,0,1,1,3,25/07/1994,1,0,60,832795585298,03:00,5,7
266,0,0,0,0,1,1,0,01/01/2030,77,0,60,7,00:00,5,7
267,2,1,0,1,0,1,1,04/09/1994,10,0,5,3,01:00,6,6
268,5,0,0,1,0,1,1,14/04/1993,9,0,25,88888,23:56,2,6
269,5,0,0,1,0,0,3,00/00/0000,5,0,25,3,23:30,2,2
270,0,1,1,1,1,1,1,09/04/1996,93,0,10,7,23:00,7,3
271,2,1,0,1,1,1,0,01/10/0000,4,2,1,1,10:00,3,6
272,0,0,0,1,1,1,1,21/10/1995,80,0,100,10,20:00,6,5
273,1,0,1,0,1,1,1,20/11/1990,0,1,100,42,02:00,3,0
274,8,0,2,0,0,2,0,14/07/1998,50,2,100,79,13:00,3,6
275,1,1,1,1,1,0,2,25/11/1994,5,0,100,5,00:30,1,3
